2452502	1423	6	7
2452539	1423	7	15
2452576	1423	8	22
2452613	1423	9	30
2452650	1423	11	8
2452687	1423	12	15
2452724	1424	1	22
2452761	1424	2	29
2452798	1424	4	7
2452835	1424	5	15
2452872	1424	6	22
2452909	1424	7	30
2452946	1424	9	8
2452983	1424	10	15
2453020	1424	11	23
2453057	1425	1	1
2453094	1425	2	8
2453131	1425	3	16
2453168	1425	4	23
2453205	1425	6	1
2453242	1425	7	9
2453279	1425	8	16
2453316	1425	9	24
2453353	1425	11	2
2453390	1425	12	9
2453427	1426	1	17
2453464	1426	2	24
2453501	1426	4	2
2453538	1426	5	10
2453575	1426	6	17
2453612	1426	7	25
2453649	1426	9	3
2453686	1426	10	10
2453723	1426	11	18
2453760	1426	12	25
2453797	1427	2	2
2453834	1427	3	10
2453871	1427	4	17
2453908	1427	5	25
2453945	1427	7	3
2453982	1427	8	10
2454019	1427	9	18
2454056	1427	10	25
2454093	1427	12	3
2454130	1428	1	11
2454167	1428	2	18
2454204	1428	3	26
2454241	1428	5	4
2454278	1428	6	11
2454315	1428	7	19
2454352	1428	8	26
2454389	1428	10	4
2454426	1428	11	12
2454463	1428	12	19
2454500	1429	1	27
2454537	1429	3	5
2454574	1429	4	12
2454611	1429	5	20
2454648	1429	6	27
2454685	1429	8	5
2454722	1429	9	13
2454759	1429	10	20
2454796	1429	11	28
2454833	1430	1	5
2454870	1430	2	12
2454907	1430	3	20
2454944	1430	4	27
2454981	1430	6	5
2455018	1430	7	13
2455055	1430	8	20
2455092	1430	9	28
2455129	1430	11	6
2455166	1430	12	13
2455203	1431	1	21
2455240	1431	2	28
2455277	1431	4	6
2455314	1431	5	14
2455351	1431	6	21
2455388	1431	7	29
2455425	1431	9	7
2455462	1431	10	14
2455499	1431	11	22
2455536	1431	12	29
2455573	1432	2	6
2455610	1432	3	14
2455647	1432	4	21
2455684	1432	5	29
2455721	1432	7	7
2455758	1432	8	14
2455795	1432	9	22
2455832	1432	10	29
2455869	1432	12	7
2455906	1433	1	15
2455943	1433	2	22
2455980	1433	3	30
2456017	1433	5	8
2456054	1433	6	15
2456091	1433	7	23
2456128	1433	9	1
2456165	1433	10	8
2456202	1433	11	16
2456239	1433	12	23
2456276	1434	2	1
2456313	1434	3	9
2456350	1434	4	16
2456387	1434	5	24
2456424	1434	7	2
2456461	1434	8	9
2456498	1434	9	17
2456535	1434	10	24
2456572	1434	12	2
2456609	1435	1	9
2456646	1435	2	16
2456683	1435	3	24
2456720	1435	5	2
2456757	1435	6	9
2456794	1435	7	17
2456831	1435	8	24
2456868	1435	10	2
2456905	1435	11	10
2456942	1435	12	17
2456979	1436	1	25
2457016	1436	3	3
2457053	1436	4	10
2457090	1436	5	18
2457127	1436	6	25
2457164	1436	8	3
2457201	1436	9	11
